ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_01049,Feng-chen Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01049,N_01061,Feng-cheng Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01061,TRUE,TRUE
N_01062,Feng-cheng Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_01062,N_01063,Feng-cheng Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_01063,TRUE,TRUE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,TRUE,TRUE
N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,TRUE,TRUE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,TRUE,TRUE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,TRUE,TRUE
